ColumnID,Label,CSV_Text,Status,Reason,PDF_Hint
80,@141.,你們討論過哪些相關事情？【可複選】4要如,Suspicious,No punctuation at end. Label not found in PDF. ,
81,@141.,你們討論過哪些相關事情？【可複選】5如何,Suspicious,No punctuation at end. Label not found in PDF. ,
82,@141.,你們討論過哪些相關事情？【可複選】6有什,Suspicious,No punctuation at end. Label not found in PDF. ,
84,nan,其他_B,Suspicious,Ends with _X suffix (likely truncated or split). Label not found in PDF. ,
86,@16.,以你目前的狀況，你認為自己最可能上哪一類,Suspicious,No punctuation at end. ,
87,@17.,如果可以不受任何條件限制，你覺得你可以讀,Suspicious,No punctuation at end. ,
88,nan,其他_C,Suspicious,Ends with _X suffix (likely truncated or split). Label not found in PDF. ,
89,@18.,就你目前的環境和能力，你覺得你可以讀到什,Suspicious,No punctuation at end. ,
90,nan,其他_D,Suspicious,Ends with _X suffix (likely truncated or split). Label not found in PDF. ,
92,@1911.,會規定你什麼時候可以上網，什麼時候不行,Suspicious,No punctuation at end. Label not found in PDF. ,
93,@1912.,會限制你上網時間的長短,Suspicious,No punctuation at end. Label not found in PDF. ,
94,@1913.,會和你一起聊網路上發生的趣聞或事件,Suspicious,No punctuation at end. Label not found in PDF. ,
95,@1914.,會陪你一起上網查資料或做作業,Suspicious,No punctuation at end. Label not found in PDF. ,
96,@1915.,會鼓勵你上網,Suspicious,No punctuation at end. Label not found in PDF. ,
97,@1916.,會和你討論使用網路的情形和心得,Suspicious,No punctuation at end. Label not found in PDF. ,
98,@1917.,擔心你上網會產生健康問題（如眼睛、體能,Suspicious,No punctuation at end. Label not found in PDF. ,
99,@1918.,擔心你課業成績會因為上網而有不好影響,Suspicious,No punctuation at end. Label not found in PDF. ,
100,@1919.,會問你在網上做什麼,Suspicious,No punctuation at end. Label not found in PDF. ,
101,@19110.,會查看你的網頁瀏覽記錄,Suspicious,No punctuation at end. Label not found in PDF. ,
102,@19111.,會因為你上網而責罵你,Suspicious,No punctuation at end. Label not found in PDF. ,
103,@19112.,會因為你在網路購物而和你起衝突,Suspicious,No punctuation at end. Label not found in PDF. ,
105,@1921.,會規定你什麼時候可以上網，什麼時候不行,Suspicious,No punctuation at end. Label not found in PDF. ,
106,@1922.,會限制你上網時間的長短,Suspicious,No punctuation at end. Label not found in PDF. ,
107,@1923.,會和你一起聊網路上發生的趣聞或事件,Suspicious,No punctuation at end. Label not found in PDF. ,
108,@1924.,會陪你一起上網查資料或做作業,Suspicious,No punctuation at end. Label not found in PDF. ,
109,@1925.,會鼓勵你上網,Suspicious,No punctuation at end. Label not found in PDF. ,
110,@1926.,會和你討論使用網路的情形和心得,Suspicious,No punctuation at end. Label not found in PDF. ,
111,@1927.,擔心你上網會產生健康問題（如眼睛、體能,Suspicious,No punctuation at end. Label not found in PDF. ,
112,@1928.,擔心你課業成績會因為上網而有不好影響,Suspicious,No punctuation at end. Label not found in PDF. ,
113,@1929.,會問你在網上做什麼,Suspicious,No punctuation at end. Label not found in PDF. ,
114,@19210.,會查看你的網頁瀏覽記錄,Suspicious,No punctuation at end. Label not found in PDF. ,
115,@19211.,會因為你上網而責罵你,Suspicious,No punctuation at end. Label not found in PDF. ,
116,@19212.,會因為你在網路購物而和你起衝突,Suspicious,No punctuation at end. Label not found in PDF. ,
117,@____,小時____分鐘【沒有請答0】,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: __________手機號碼：_____...
118,@____,小時____分鐘【沒有請答0】_A,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: __________手機號碼：_____...
122,@214.,看影片、聽音樂、迷因梗圖、卡通、漫畫,Suspicious,No punctuation at end. Label not found in PDF. ,
124,@216.,在網路上瀏覽自己有興趣的資訊,Suspicious,No punctuation at end. Label not found in PDF. ,
125,@____,小時____分鐘【沒有請答0】_B,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: __________手機號碼：_____...
126,@____,小時____分鐘【沒有請答0】_C,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: __________手機號碼：_____...
127,@____,小時____分鐘【沒有請答0】_D,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: __________手機號碼：_____...
128,@____,小時____分鐘【沒有請答0】_E,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: __________手機號碼：_____...
129,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
130,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_A,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
131,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_B,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
132,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_C,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
133,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_D,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
134,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_E,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
135,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_F,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
136,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_G,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
137,@23.,你與以下對象的即時通訊如LINE、臉書、Wechat_H,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 你與以下對象的即時通訊(如LINE、臉書...
138,@24.,當你在現實生活遇到困難感到憂慮時，你會上,Suspicious,No punctuation at end. ,
139,@24.,當你在現實生活遇到困難感到憂慮時，你會_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
140,@24.,當你在現實生活遇到困難感到憂慮時，你會_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
141,@24.,當你在現實生活遇到困難感到憂慮時，你會_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
142,@24.,當你在現實生活遇到困難感到憂慮時，你會_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
143,@24.,當你在現實生活遇到困難感到憂慮時，你會_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
144,@24.,當你在現實生活遇到困難感到憂慮時，你會_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
146,@25.,關於你在社群媒體上的行為，以下敘述符不符,Suspicious,No punctuation at end. ,
147,@25.,關於你在社群媒體上的行為，以下敘述符不_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
148,@25.,關於你在社群媒體上的行為，以下敘述符不_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
149,@25.,關於你在社群媒體上的行為，以下敘述符不_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
150,@25.,關於你在社群媒體上的行為，以下敘述符不_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
151,@25.,關於你在社群媒體上的行為，以下敘述符不_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
152,@25.,關於你在社群媒體上的行為，以下敘述符不_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
153,@25.,關於你在社群媒體上的行為，以下敘述符不_G,Suspicious,Ends with _X suffix (likely truncated or split). ,
154,@25.,關於你在社群媒體上的行為，以下敘述符不_H,Suspicious,Ends with _X suffix (likely truncated or split). ,
155,@26.,以下描述符不符合你的個人經驗感受呢？261,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
156,@26.,以下描述符不符合你的個人經驗感受呢？262,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
157,@26.,以下描述符不符合你的個人經驗感受呢？263,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
158,@26.,以下描述符不符合你的個人經驗感受呢？264,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
159,@26.,以下描述符不符合你的個人經驗感受呢？265,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
160,@26.,以下描述符不符合你的個人經驗感受呢？266,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
161,@26.,以下描述符不符合你的個人經驗感受呢？267,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
162,@26.,以下描述符不符合你的個人經驗感受呢？268,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
163,@26.,以下描述符不符合你的個人經驗感受呢？269,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
164,@26.,以下描述符不符合你的個人經驗感受呢？2610,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
165,@26.,以下描述符不符合你的個人經驗感受呢？2611,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
166,@26.,以下描述符不符合你的個人經驗感受呢？2612,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
167,@26.,以下描述符不符合你的個人經驗感受呢？2613,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
168,@26.,以下描述符不符合你的個人經驗感受呢？2614,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
169,@26.,以下描述符不符合你的個人經驗感受呢？2615,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 以下描述符不符合你的個人經驗感受呢？不太...
170,@27.,關於你在網路上的意見表達，以下敘述你同不,Suspicious,No punctuation at end. ,
171,@27.,關於你在網路上的意見表達，以下敘述你同_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
172,@27.,關於你在網路上的意見表達，以下敘述你同_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
173,@27.,關於你在網路上的意見表達，以下敘述你同_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
174,@27.,關於你在網路上的意見表達，以下敘述你同_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
175,@27.,關於你在網路上的意見表達，以下敘述你同_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
176,@28.,你同不同意以下說法？281.沒跟上朋友們在網,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 你同不同意以下說法？(1)很不同意(2)...
177,@28.,你同不同意以下說法？282.錯過和朋友們在網,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 你同不同意以下說法？(1)很不同意(2)...
178,@28.,你同不同意以下說法？283.我會隨時透過網路,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 你同不同意以下說法？(1)很不同意(2)...
179,@28.,你同不同意以下說法？284.沒跟上網路上的首,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 你同不同意以下說法？(1)很不同意(2)...
180,@29.,關於上網，以下敘述符不符合你的情形？291,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
181,@29.,關於上網，以下敘述符不符合你的情形？292,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
182,@29.,關於上網，以下敘述符不符合你的情形？293,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
183,@29.,關於上網，以下敘述符不符合你的情形？294,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
184,@29.,關於上網，以下敘述符不符合你的情形？295,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
185,@29.,關於上網，以下敘述符不符合你的情形？296,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
186,@29.,關於上網，以下敘述符不符合你的情形？297,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
187,@29.,關於上網，以下敘述符不符合你的情形？298,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
188,@29.,關於上網，以下敘述符不符合你的情形？299,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
189,@29.,關於上網，以下敘述符不符合你的情形？2910,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 關於上網，以下敘述符不符合你的情形？(1...
190,@30.,上九年級以來，你曾在現實生活中非網上，被,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
191,@31.,上九年級以來，你曾在現實生活中非網上遇到,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
192,@31.,上九年級以來，你曾在現實生活中非網上遇_A,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
193,@31.,上九年級以來，你曾在現實生活中非網上遇_B,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
194,@31.,上九年級以來，你曾在現實生活中非網上遇_C,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
195,@31.,上九年級以來，你曾在現實生活中非網上遇_D,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
196,@31.,上九年級以來，你曾在現實生活中非網上遇_E,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
197,@31.,上九年級以來，你曾在現實生活中非網上遇_F,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
198,@31.,上九年級以來，你曾在現實生活中非網上遇_G,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
199,@32.,上九年級以來，你曾在現實生活中非網上，對,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
200,@33.,上九年級以來，你曾在現實生活中非網上對別,Suspicious,No punctuation at end. Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
201,@33.,上九年級以來，你曾在現實生活中非網上對_A,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
202,@33.,上九年級以來，你曾在現實生活中非網上對_B,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
203,@33.,上九年級以來，你曾在現實生活中非網上對_C,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
204,@33.,上九年級以來，你曾在現實生活中非網上對_D,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
205,@33.,上九年級以來，你曾在現實生活中非網上對_E,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
206,@33.,上九年級以來，你曾在現實生活中非網上對_F,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
207,@33.,上九年級以來，你曾在現實生活中非網上對_G,Suspicious,Ends with _X suffix (likely truncated or split). Text not found in PDF after label. ,PDF has: 上九年級以來，你曾在現實生活中(非網上)...
209,@35.,上九年級以來，你曾在網路上遇到這樣的事情,Suspicious,No punctuation at end. ,
210,@35.,上九年級以來，你曾在網路上遇到這樣的事_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
211,@35.,上九年級以來，你曾在網路上遇到這樣的事_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
212,@35.,上九年級以來，你曾在網路上遇到這樣的事_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
213,@35.,上九年級以來，你曾在網路上遇到這樣的事_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
214,@35.,上九年級以來，你曾在網路上遇到這樣的事_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
215,@35.,上九年級以來，你曾在網路上遇到這樣的事_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
216,@36.,上九年級以來，你曾在網路上，對別人辱罵、,Suspicious,No punctuation at end. ,
217,@37.,上九年級以來，你曾在網路上對別人做過這樣,Suspicious,No punctuation at end. ,
218,@37.,上九年級以來，你曾在網路上對別人做過這_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
219,@37.,上九年級以來，你曾在網路上對別人做過這_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
220,@37.,上九年級以來，你曾在網路上對別人做過這_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
221,@37.,上九年級以來，你曾在網路上對別人做過這_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
222,@37.,上九年級以來，你曾在網路上對別人做過這_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
223,@37.,上九年級以來，你曾在網路上對別人做過這_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
224,@38.,上九年級以來，同學之間有時會發生衝突。當,Suspicious,No punctuation at end. ,
225,@38.,上九年級以來，同學之間有時會發生衝突。_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
226,@38.,上九年級以來，同學之間有時會發生衝突。_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
227,@38.,上九年級以來，同學之間有時會發生衝突。_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
228,@38.,上九年級以來，同學之間有時會發生衝突。_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
229,@38.,上九年級以來，同學之間有時會發生衝突。_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
230,@38.,上九年級以來，同學之間有時會發生衝突。_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
231,@38.,上九年級以來，同學之間有時會發生衝突。_G,Suspicious,Ends with _X suffix (likely truncated or split). ,
232,@38.,上九年級以來，同學之間有時會發生衝突。_H,Suspicious,Ends with _X suffix (likely truncated or split). ,
233,@38.,上九年級以來，同學之間有時會發生衝突。_I,Suspicious,Ends with _X suffix (likely truncated or split). ,
234,@39.,過去6個月以來，請問你有沒有做過下列的事,Suspicious,No punctuation at end. ,
235,@39.,過去6個月以來，請問你有沒有做過下列的事_A,Suspicious,Ends with _X suffix (likely truncated or split). ,
236,@39.,過去6個月以來，請問你有沒有做過下列的事_B,Suspicious,Ends with _X suffix (likely truncated or split). ,
237,@39.,過去6個月以來，請問你有沒有做過下列的事_C,Suspicious,Ends with _X suffix (likely truncated or split). ,
238,@39.,過去6個月以來，請問你有沒有做過下列的事_D,Suspicious,Ends with _X suffix (likely truncated or split). ,
239,@39.,過去6個月以來，請問你有沒有做過下列的事_E,Suspicious,Ends with _X suffix (likely truncated or split). ,
240,@39.,過去6個月以來，請問你有沒有做過下列的事_F,Suspicious,Ends with _X suffix (likely truncated or split). ,
