col_index,ver11_col,ver00_col
109,19-2_6,  - 19-2-6.會和你討論使用網路的情形和心得
110,19-2_7,  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）
111,19-2_8,  - 19-2-8.擔心你課業成績會因為上網而有不好影響
112,19-2_9,  - 19-2-9.會問你在網上做什麼
113,19-2_10,  - 19-2-10.會查看你的網頁瀏覽記錄
114,19-2_11,  - 19-2-11.會因為你上網而責罵你
115,19-2_12,  - 19-2-12.會因為你在網路購物而和你起衝突
116,____小時,____小時
117,____分鐘,____分鐘
118,21-1,21-1.完成學校功課（查找完成作業需要的資料）
119,21-2,21-2.課外的學習（各種線上付費或免費的課程）
120,21-3,21-3.玩線上遊戲
121,21-4,21-4.看影片、聽音樂、迷因梗圖、卡通、漫畫
122,21-5,21-5.和他人聊天（傳訊息）
123,21-6,21-6.在網路上瀏覽自己有興趣的資訊
124,____小時.1,____小時.1
125,____分鐘.1,____分鐘.1
126,____小時.2,____小時.2
127,____分鐘.2,____分鐘.2
128,23-1,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-1.父親
129,23-2,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-2.母親
130,23-3,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-3.兄弟姊妹
131,23-4,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-4.同班同學
132,23-5,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-5.同校朋友
133,23-6,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-6.校外朋友
134,23-7,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-7.網友
135,23-8,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-8.學校老師、社團老師
136,23-9,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-9.補習班或家教老師
137,24-1,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-1.找人聊天給你支持或安慰。
138,24-2,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-2.找人討論問題，設法解決困難。
139,24-3,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-3.搜尋相關的資訊，設法解決困難。
140,24-4,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-4.瀏覽跟困難無關的資訊，轉移自己的注意力。
141,24-5,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-5.玩遊戲來減少困擾或壓力感受。
142,24-6,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-6.購物來改善心情或壓力感受。
143,24-7,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-7.詢問生成式AI（如ChatGPT）
144,25-0,25-0.你有沒有社群媒體帳號？
145,25-1,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-1.我只會發佈自己看起來高興、愉快的照片。
146,25-2,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-2.我會刻意選擇自己看起來好看的照片發佈。
147,25-3,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-3.我會發佈對自己形象加分的訊息，即使那不是真實的情況。
148,25-4,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-4我不會介意發佈自己不太好看的照片。
149,25-5,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-5我不介意發佈可能對自己形象扣分的貼文。
150,25-6,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-6我不介意在我的社群媒體上寫下發生在我身上的壞事。
151,25-7,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-7.我會用不被發現的方式，瀏覽人們在網路上的訊息。
152,25-8,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-8.我會隱藏自己正在線上活動的紀錄。
153,25-9,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-9.我會避免加入朋友們在社群媒體上的對話，即便我正在看著他們的訊息。
154,26-1,26.以下描述符不符合你的個人經驗感受呢？ - 26-1.我喜歡自己在網路上的形象。
155,26-2,26.以下描述符不符合你的個人經驗感受呢？ - 26-2.我在網路上可以表現出我最好的一面。
156,26-3,26.以下描述符不符合你的個人經驗感受呢？ - 26-3.在網路世界中我覺得自己可以成為理想的自己。
157,26-4,26.以下描述符不符合你的個人經驗感受呢？ - 26-4.我喜歡自己在現實生活裡的形象。
158,26-5,26.以下描述符不符合你的個人經驗感受呢？ - 26-5.我在現實生活裡可以表現出我最好的一面。
159,26-6,26.以下描述符不符合你的個人經驗感受呢？ - 26-6.在現實生活裡我覺得自己可以成為理想的自己。
160,26-7,26.以下描述符不符合你的個人經驗感受呢？ - 26-7.我在網路世界裡經常會扮演成不一樣的角色。
161,26-8,26.以下描述符不符合你的個人經驗感受呢？ - 26-8.我在不同的社群媒體中（如臉書、IG）會有不一樣的形象。
162,26-9,26.以下描述符不符合你的個人經驗感受呢？ - 26-9.我喜歡在網路上擁有多種不一樣的身分、形象或樣貌。
163,26-10,26.以下描述符不符合你的個人經驗感受呢？ - 26-10.我在網路上呈現自我的方式，與在現實生活的自我並不相同。
164,26-11,26.以下描述符不符合你的個人經驗感受呢？ - 26-11.我覺得我在網路世界和現實世界中是不同的人。
165,26-12,26.以下描述符不符合你的個人經驗感受呢？ - 26-12.我在網路世界中表現出與現實世界中截然不同的言行舉止。
166,26-13,26.以下描述符不符合你的個人經驗感受呢？ - 26-13.比起在現實生活，我覺得自己在網路上比較輕鬆自在。
167,26-14,26.以下描述符不符合你的個人經驗感受呢？ - 26-14.我喜歡在網路上的生活，勝過於現實中的生活。
168,26-15,26.以下描述符不符合你的個人經驗感受呢？ - 26-15.如果可以，我希望自己可以一直待在網路上。
169,27-1,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-1.我經常會在網路上和他人比較自己在生活上獲得的成就。
170,27-2,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-2.我總是在網路上留意他人的表現，並和自己的表現進行比較。
171,27-3,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-3.我經常在網路上和他人比較自己受歡迎的程度。
172,27-4,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-4.如果我想要更瞭解某些事情，我會試著去網路上看看別人的想法。
173,27-5,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-5.我總是好奇網路上的人們在和我遇到相同的問題時會怎麼想或怎麼做。
174,27-6,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-6.我喜歡在網路上看看其他人的不同觀點和經歷。
175,28-1,28.你同不同意以下說法？ - 28-1.沒跟上朋友們在網路上聊天或開玩笑的話題，會讓我感到很焦慮。
176,28-2,28.你同不同意以下說法？ - 28-2.錯過和朋友們在網路上的聚會，會讓我感到很困擾。
177,28-3,28.你同不同意以下說法？ - 28-3.我會隨時透過網路追蹤朋友們的行蹤和做的事情
178,28-4,28.你同不同意以下說法？ - 28-4.沒跟上網路上的首播、直播或活動，我會感到很困擾
179,29-1,29.關於上網，以下敘述符不符合你的情形？ - 29-1.想上網而無法上網的時候，我就會感到坐立不安。
180,29-2,29.關於上網，以下敘述符不符合你的情形？ - 29-2.只要有一段時間沒有上網，我就會覺得心裡不舒服。
181,29-3,29.關於上網，以下敘述符不符合你的情形？ - 29-3.我只要超過一天沒上網玩，就會很難受。
182,29-4,29.關於上網，以下敘述符不符合你的情形？ - 29-4.發現自己上網休閒的時間越來越長。
183,29-5,29.關於上網，以下敘述符不符合你的情形？ - 29-5.平均而言，我每周上網休閒的時間比以前增加許多。
184,29-6,29.關於上網，以下敘述符不符合你的情形？ - 29-6.我實際上網所花的時間遠遠超過原來預期的時間。
185,29-7,29.關於上網，以下敘述符不符合你的情形？ - 29-7.上網對我的學業或工作已造成一些負面的影響。
186,29-8,29.關於上網，以下敘述符不符合你的情形？ - 29-8.上網已經很明顯地危害到我的生理或心理健康。
187,29-9,29.關於上網，以下敘述符不符合你的情形？ - 29-9.因為上網的關係，我和家人及朋友的互動減少了。
188,29-10,29.關於上網，以下敘述符不符合你的情形？ - 29-10.我常因熬夜上網休閒，導致白天精神或體力很差。
189,30,30.上九年級以來，你曾在現實生活中(非網上)，被其他人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕加入討論或活動嗎？
190,31-1,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-1.別人用髒話罵或威脅我。
191,31-2,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-2.別人說我的壞話。
192,31-3,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-3.不讓我加入討論、活動或不准別人跟我說話、一起行動。
193,31-4,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-4.被嘲笑外表或言行舉止。
194,31-5,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-5.被嘲笑我喜歡某個人。
195,31-6,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-6.故意破壞我的東西或故意藏起來。
196,31-7,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-7.勒索或強要我的東西。
197,31-8,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-8.別人對我肢體攻擊。
198,32,32.上九年級以來，你曾在現實生活中(非網上)，對別人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕讓某個人加入討論或活動嗎？
199,33-1,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-1.用髒話罵或威脅某人。
200,33-2,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-2.說某人的壞話。
201,33-3,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-3.不讓某人加入活動、討論事情或不准別人跟某人說話、一起行動。
202,33-4,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-4.嘲笑某人的外貌或言行舉止。
203,33-5,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-5.嘲笑某人他喜歡某個人。
204,33-6,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-6.故意破壞某人的東西或故意藏起來。
205,33-7,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-7.勒索或強要某人的東西。
206,33-8,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-8.對某人肢體攻擊。
207,34,34.上九年級以來，你曾在網路上，被其他人辱罵、惡意取笑、拒絕加入討論、散佈丟臉的影片、發佈不實的訊息嗎？
208,35-1,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-1.別人用髒話罵或威脅我。
209,35-2,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-2.別人說我的壞話。
210,35-3,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-3.不讓我加入討論。
211,35-4,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-4.被嘲笑外貌、言行舉止。
212,35-5,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-5.被嘲笑我喜歡某人。
213,35-6,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-6.在網路散布使我丟臉的照片或影片。
214,35-7,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-7.假冒我的社交帳號或是電子郵件，在網路上發佈不實訊息。
215,36,36.上九年級以來，你曾在網路上，對別人辱罵、惡意取笑、拒絕加入討論、散佈丟臉的影片、發佈不實訊息等事情嗎？
216,37-1,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-1.用髒話罵或威脅某人。
217,37-2,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-2.說某人的壞話。
218,37-3,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-3.不讓某人加入討論。
219,37-4,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-4.嘲笑某人的外貌、言行舉止。
220,37-5,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-5.嘲笑某人喜歡某個人。
221,37-6,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-6.在網路散布使某人丟臉的照片或影片。
222,37-7,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-7.用某人的社交帳號或是電子郵件，發佈不實的訊息給其他人。
223,38-1,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-1.當同學被惡意嘲笑時，我會幫忙被嘲笑的人。
224,38-2,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-2.當同學被威脅、騷擾時，我會保護被威脅的人。
225,38-3,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-3.當同學被惡意排擠而無法分組或參加活動時，我會設法讓同學不要被排擠。
226,38-4,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-4.當別人嘲笑特定同學，我不會加入對話，或將這些內容傳給別人。
227,38-5,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-5.當我知道有同學被威脅、騷擾，我不會有任何反應或行動。
228,38-6,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-6.當有人被惡意排擠而無法分組或參加活動時，我不會多管閒事。
229,38-7,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-7.當我收到別人傳來同學的出醜或是不雅照片，我不會傳給別人。
230,38-8,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-8.當同學被惡意嘲笑時，我會跟著一起嘲笑那個人。
231,38-9,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-9.當同學被威脅、騷擾時，我會跟著做這些行為。
232,38-10,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-10.當同學被排擠而無法分組或參加活動時，我也不會跟這個同學一組。
233,39,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(1)考試作弊
234,39_1,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(2)離家出走
235,39_2,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(3)蹺課或逃學
236,39_3,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(4)偷拿別人的東西
237,39_4,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(5)故意破壞別人的東西
238,39_5,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(6)蓄意打傷別人
239,39_6,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(7)抽紙菸（香菸）
240,39_7,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(8)抽電子菸
241,39_8,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(9)喝酒
242,39_9,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(10)嚼檳榔
243,39_10,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(11)收聽或觀看盜版的音樂與影片
244,39_11,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(12)下載非法軟體
245,39_12,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(13)深夜不回家在外遊蕩
246,39_13,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(14)都沒有
247,40-1,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-1.我能判斷適合找到最好答案的關鍵字
248,40-2,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-2.我能快速找到我曾拜訪過的網站
249,40-3,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-3.我很清楚自己正在觀看特定網站或使用特定app的目的
250,40-4,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-4.我清楚哪些訊息可以在網路上公開分享，哪些不行
251,40-5,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-5.我能注意上網時給出的評語是不是恰當
252,40-6,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-6.貼文和傳照片影片時，我會視情況設定要分享給誰看到
253,40-7,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-7.我能從網路找到其他人的影音，進行二次創作或改編
254,40-8,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-8.我能根據網頁/影音所屬的著作權規範（如創用cc）來運用找到的素材
255,40-9,40.以下關於媒體網站的運用敘述，你同不同意？ - 40-9.我能將所製作的影片/網頁/圖片上傳到雲端空間
256,41-1,41-1.請問你知道什麼是生成式AI（ChatGPT等）嗎？
257,41,41.請問你通常多常使用生成式AI？
258,42,42.請問你通常用生成式AI來做什麼？【可複選】-(1)寫作業
259,42_1,42.請問你通常用生成式AI來做什麼？【可複選】-(2)各國語文翻譯
260,42_2,42.請問你通常用生成式AI來做什麼？【可複選】-(3)查找資料
261,42_3,42.請問你通常用生成式AI來做什麼？【可複選】-(4)製作圖片、影片
262,42_4,42.請問你通常用生成式AI來做什麼？【可複選】-(5)學習語言
263,42_5,42.請問你通常用生成式AI來做什麼？【可複選】-(6)聊天
264,42_6,42.請問你通常用生成式AI來做什麼？【可複選】-(7)其他
265,其他.4,其他.4
266,43-1,43.關於生成式AI的使用，符不符合你的情形？ - 43-1. 如果不用生成式AI，就無法完成作業。
267,43-2,43.關於生成式AI的使用，符不符合你的情形？ - 43-2. 會向生成式AI傾訴心事，來獲得支持或安慰。
268,43-3,43.關於生成式AI的使用，符不符合你的情形？ - 43-3. 做事時總是想依賴生成式AI。
269,43-4,43.關於生成式AI的使用，符不符合你的情形？ - 43-4. 會以粗魯言詞向生成式AI來發洩情緒。
270,44-1,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-1.在線上搜尋並找到相關資訊。
271,44-2,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-2.評估在線上找到的資訊品質。
272,44-3,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-3.跟一群同學分享實用資訊(例如便宜的購物、好玩的地點等)。
273,44-4,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-4.跟其他同學合作完成小組作業。
274,44-5,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-5.向其他同學展示如何使用生成式AI分享學習內容。
275,44-6,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-6.撰寫學校作業。
276,44-7,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-7.分析所收集的資料。
277,44-8,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-8.創造建立包含聲音、圖片或影片的多媒體展示。
278,44-9,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-9.創造建立、更新和維護網頁或個人社群網站。
279,44-10,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-10.撰寫程式。
